Config,dt_pixels,dt_polygons,st_pixels,st_polygons,total_pixels,empty_pixels,pc_empty
Northern Wetland,2004542,852,2291027,612,99760250,97469223,0.9770347
NW Mountain Forest,9183907,3272,87383395,5067,507018273,419634878,0.8276524
NW Mountain Schrub,10508815,2875,35296994,3355,242760838,207463844,0.8546018
NW Mountain Grassland,9295856,2743,44713945,3226,85557309,40843364,0.4773802
Eastern Temperate Forest,25954916,42933,35795154,21508,1064058149,1028262995,0.9663598
Eastern Temperate Wetlands,16244792,29896,15075391,12956,326548382,311472991,0.9538341
Great Plains Forest,944408,1701,4512866,3115,100237909,95725043,0.95497847
Great Plains Schrub,3343052,1475,29281992,2563,436714408,407432416,0.9329493
Great Plains Grassland,8540979,2843,48821954,3413,787198085,738376131,0.9379801
Great Plains Wetland,4726109,4203,3448287,3563,63399426,59951139,0.9456101
NA Desert Forest,688273,1333,6505821,2686,92852069,86346248,0.9299335
NA Desert Schrub,10259040,4149,70266988,4579,1171883222,1101616234,0.9400393
NA Desert Grassland,35270943,4298,63472966,4173,97870680,34397714,0.35146087
Medit California Forest,1025226,1597,6542336,1753,20405259,13862923,0.6793799
Medit California Schrub,6559780,1424,18822407,1076,49414740,30592333,0.6190933
Medit California Grassland,4290319,1521,13524489,1184,46198468,32673979,0.70725244
Southern Semiarid Schrub,3469350,866,7403273,459,41859628,34456355,0.8231405
Temperate Sierra Forest,5092249,1295,14111033,1072,60281848,46170815,0.7659157
Temperate Sierra Schrub,2733602,990,8792949,852,56550562,47757613,0.84451175
Temperate Sierra Grassland,1177751,611,5384781,575,2007667,-3377114,-1.6821086
Tropical Wetland,5226421,3392,5863304,1234,15111986,9248682,0.6120097
